9509051373#Sin City, Vol. 3#Miller,Frank#Dark Horse Comics#12#28#2004#3#11.00#16.99
1857232097#The Fires of Heaven#Jordan, Robert#TOR#11#01#1994#1#13.00#19.99
159420229X#Moonwalking with Einstein#Foer, Joshua#Penguin Press#03#03#2011#3#12.11#14.99
1593072937#Sin City, Vol. 1: The Hard Goodbye#Miller, Frank#Dark Horse Comics#10#20#2010#3#9.99#13.99
1569714029#300#Miller, Frank#Dark Horse Comics#08#12#1999#1#10.00#14.99
1563898683#Batman: Dark Victory#Loeb, Jeph#DC Comics#10#01#2002#3#12.99#17.99
1563894696#Batman: The Long Halloween#Loeb, Jeph#DC Comics#11#01#1999#1#13.88#16.99
156389341X#Batman: The Dark Knight Returns#Miller, Frank#DC Comics#11#01#2002#2#10.00#12.00
141650964X#The Farthest Shore#Guin, Ursula K. Le#Parnassus#11#01#2004#3#8.00#9.99
1401209017#Batman: Under the Hood Vol. 2#Winick, Judd#DC Comics#06#07#2006#2#11.00#13.99
1401207529#Batman: Year One#Miller, Frank#DC Comics#01#10#2007#4#10.00#12.99
1401204252#Batman: Arkham Asylum#Morrison, Grant#DC Comics#01#11#2005#4#10.00#13.50
1401200923#Batman: Hush, Vol. 2#Loeb, Jeph#11#01#2004#5#11.00#14.99
1400049628#The Zombie Survival Guide: Complete Protection from the Living Dead#Brooks, Max#Three Rivers Press#09#16#2003#5#8.99#11.99
0930289234#Watchmen#Moore, Alan#DC Comics#03#14#2005#3#10.50#16.99
0836221362#Calvin and Hobbes: It's a Magical World#Watterson, Bill#Andrews McMeel#09#01#1996#4#11.00#14.99
0836220889#Calvin and Hobbes#Watterson, Bill#12#13#1987#2#10.00#13.99
0836218310#The Far Side Gallery 3#Larson, Gary#10#01#1988#1#11.50#14.99
0836218051#The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury#Watterson, Bill#09#10#1988#2#12.00#16.99
0836204387#The Calvin and Hobbes Tenth Anniversary Book#Watterson, Bill#09#01#1995#1#11.50#15.99
0812550706#Ender's Game#Card, Orson Scott#Tor Books#07#15#1994#7#7.00#9.99
0812517725#The Great Hunt#Jordan, Robert#Tor Books#10#15#1991#2#12.99#15.99
0812513738#The Shadow Rising#Jordan, Robert#Tor Books#10#15#1993#3#11.99#14.99
0812511816#The Eye of the World#Jordan, Robert#Tor Books#11#15#1990#8.99#11.99
0785123288#Wolverine: Origin#Jenkins, Paul#Marvel Comics#10#18#2006#3#10.99#16.99
0765350378#Elantris#Sanderson, Brandon#Tor Books#05#30#2006#3#8.99#13.50
0765346524#Wizard's First Rule#Goodkind, Terry#04#14#2003#2#8.99#10.50
0765330423#The Alloy of Law#Sanderson, Brandon#Tor Books#11#0#2011#6#7.99#10.99
0765326353#The Way of Kings#Sanderson, Brandon#Tor Books#08#31#2010#2#10.99#14.50
0765325950#A Memory of Light#Jordan, Robert#Tor Books#01#08#2013#1#14.99#18.99
0765325942#Towers of Midnight#Jordan, Robert#Tor Books#11#02#2010#2#13.99#17.99
0765319233#Chronicles of the Black Company#Cook, Glen#Tom Doherty Associates#11#13#2007#3#10.99#13.99
0765316897#The Hero of Ages#Sanderson, Brandon#Tor Books#10#14#2008#2#10.99#13.99
0765316889#The Well of Ascension#Sanderson, Brandon#Tor Books#08#21#2007#3#7.99#10.99
076531178X#Mistborn: The Final Empire#Sanderson, Brandon#Tor Books#07#25#2006#3#8.99#11.50
0765305119#The Dragon Reborn#Jordan, Robert#Tor Books#09#14#2002#1#12.99#16.99
0765302306#The Gathering Storm#Jordan, Robert#Tor Books#10#27#2009#2#12.99#16.99
0756404738#The Wise Man's Fear#Rothfuss, Patrick#Penguin Books#03#01#2011#4#8.99#11.99
075640407X#The Name of the Wind#Rothfuss, Patrick#Penguin Books#03#27#2007#5#7.99#10.99
0747263744#American Gods#Gaiman, Neil#HarperCollins#03#04#2005#3#7.99#9.99
0743477111#Romeo and Juliet#Shakespeare, William#Penguin Books#01#01#2004#3#8.99#11.99
0739467352#Guns, Germs, and Steel#Diamond, Jared#W.W.Norton#11#03#2005#4#10.99#14.99
0671027344#The Perks of Being a Wallflower#Chbosky,Stephen#Pocket Books#02#28#1999#4#8.99#11.99
